"번호","개방서비스명","개방서비스id","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"11","골프장","10_31_02_P","4050000","CDFH2302011993000002","19930608","","01","영업/정상","13","영업중","","","","","","","449822","경기도 용인시 처인구 양지면 대대리 854-34","경기도 용인시 처인구 양지면 양대로 290","449822","금호리조트(주)","20210511111159","U","2021-05-13 02:40:00.0","","225622.153527581","416941.404061624","골프장","사립","0","","","11032.57","2230","","",
"12","골프장","10_31_02_P","4050000","CDFH2302011996000002","19960920","","01","영업/정상","13","영업중","","","","","","","449832","경기도 용인시 처인구 이동읍 화산리 129-64번지","경기도 용인시 처인구 이동읍 화산로 239","449832","화산","20160923172224","I","2018-08-31 23:59:59.0","","220670.631206435","405886.667544763","골프장","사립","0","","","7242.24","","","",
"13","골프장","10_31_02_P","4050000","CDFH2302011996000001","19960327","","01","영업/정상","13","영업중","","","","","286-9500","","446901","경기도 용인시 기흥구 고매동 279-13번지","경기도 용인시 기흥구 기흥단지로 224  (고매동)","","코리아대중","20171229151304","I","2018-08-31 23:59:59.0","","210455.289981489","413543.860553489","골프장","사립","0","","","1397.88","","","",
"14","골프장","10_31_02_P","4050000","CDFH2302011994000002","19940629","","01","영업/정상","13","영업중","","","","","","","467812","경기도 이천시 마장면 해월리 산 281번지","","","지산리조트(주)","20030425163330","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","1527293","","","",
"15","골프장","10_31_02_P","4050000","CDFH2302011994000001","19940629","","01","영업/정상","13","영업중","","","","","334-7111","","449834","경기도 용인시 처인구 이동읍 서리 784-7번지","","","코리아컨트리클럽","20180316135114","I","2018-08-31 23:59:59.0","","213364.544923911","413063.186340137","골프장","사립","0","","","8992.73","1329","","",
"16","골프장","10_31_02_P","4050000","CDFH2302011993000004","19930823","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 원삼면 목신리 356-10번지","경기도 용인시 처인구 원삼면 보개원삼로1534번길 40","17170","블루원용인CC","20190131103029","U","2019-02-02 02:40:00.0","","227883.9727022","403138.155841543","골프장","사립","0","","","1308.79","","","",
"17","골프장","10_31_02_P","4050000","CDFH2302011993000001","19930608","","01","영업/정상","13","영업중","","","","","","","","","경기도 용인시 처인구 백옥대로 860-38 (호동, 은화삼C.C)","17140","은화삼","20170716135018","I","2018-08-31 23:59:59.0","","220157.048992062","412719.740695717","골프장","사립","0","","","113170.63","1081","","",
"18","골프장","10_31_02_P","4050000","CDFH2302011992000001","19920831","","01","영업/정상","13","영업중","","","","","","","449833","경기도 용인시 처인구 이동읍 묵리 산 49-1","경기도 용인시 처인구 이동읍 이원로 225","449833","신원","20210430140010","U","2021-05-02 02:40:00.0","","222259.042206837","408978.386324539","골프장","사립","0","","","8874.55","743","","",
"19","골프장","10_31_02_P","4050000","CDFH2302011991000001","19911230","","01","영업/정상","13","영업중","","","","","286-8603","","446904","경기도 용인시 기흥구 보라동 1-35번지","경기도 용인시 기흥구 사은로 163 (보라동)","","남부","20180710143852","I","2018-08-31 23:59:59.0","","211076.745904065","418039.563996241","골프장","사립","0","","","5312.8","799","","",
"20","골프장","10_31_02_P","4050000","CDFH2302011990000001","19901015","","01","영업/정상","13","영업중","","","","","334-2111","","449852","경기도 용인시 처인구 모현읍 능원리 산 5-12번지","경기도 용인시 처인구 모현읍 능원로 181","","레이크사이드대중","20190208103039","U","2019-02-10 02:40:00.0","","215629.609472079","425051.25336069","골프장","사립","0","","","10248.36","","","",
"21","골프장","10_31_02_P","4050000","CDFH2302011986000001","19860915","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 고매동 5-73번지 골드훼미리콘도","경기도 용인시 기흥구 기흥단지로 406 (고매동, 골드훼미리콘도)","17087","골드컨트리클럽","20181010172154","U","2018-10-10 23:59:59.0","","212199.39792057","413149.406715243","골프장","사립","0","","","","1988","","",
"22","골프장","10_31_02_P","4050000","CDFH2302011984000002","19840604","","01","영업/정상","13","영업중","","","","","","","446506","경기도 용인시 기흥구 마북동 153-1번지","경기도 용인시 기흥구 구교동로 151 (마북동)","446506","한성","20160603202805","I","2018-08-31 23:59:59.0","","210837.002523732","422680.250886267","골프장","사립","0","","19","10866.3","1910","","",
"23","골프장","10_31_02_P","4050000","CDFH2302011984000001","19840428","","01","영업/정상","13","영업중","","","","","281-7111","","446908","경기도 용인시 기흥구 영덕동 258-2번지","경기도 용인시 기흥구 흥덕4로 77 (영덕동)","","태광컨트리클럽","20200507172122","U","2020-05-09 02:40:00.0","","207447.393102164","420337.547036423","골프장","사립","0","","","10443.2","1316","","",
"24","골프장","10_31_02_P","4050000","CDFH2302011981000001","19811130","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 남사면 통삼리 1-1번지 한화리조트","경기도 용인시 처인구 남사면 봉무로153번길 79, 한화리조트","17119","플라자C.C","20200611130111","U","2020-06-13 02:40:00.0","","212145.399480582","403023.550490902","골프장","사립","0","","","10131.8","","","",
"25","골프장","10_31_02_P","4050000","CDFH2302011975000001","19750426","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 구갈동 258-1 수원컨트리클럽","경기도 용인시 기흥구 중부대로 495, 수원컨트리클럽 (구갈동)","16976","수원컨트리클럽","20201012142624","U","2020-10-14 02:40:00.0","","210864.575041437","419457.247187263","골프장","사립","0","","","13499.83","","","",
"26","골프장","10_31_02_P","4050000","CDFH2302011971000001","19711124","","01","영업/정상","13","영업중","","","","","","","449821","경기도 용인시 처인구 양지면 남곡리 34-1번지","경기도 용인시 처인구 양지면 남평로 112","","파인리조트","20200307130217","U","2020-03-09 02:40:00.0","","225676.914901776","412533.211980695","골프장","사립","0","","","5977.79","2639","","",
"27","골프장","10_31_02_P","4050000","CDFH2302011970000001","19701013","","01","영업/정상","13","영업중","","","","","373-7111","","449884","경기도 용인시 처인구 남사면 북리 859-1번지","경기도 용인시 처인구 남사면 전나무골길2번길 94","449884","한원컨트리클럽","20181115181534","U","2018-11-17 02:38:02.0","","211535.407569017","406187.362552862","골프장","사립","0","","","10285.7","2374","","",
"28","골프장","10_31_02_P","4170000","CDFH2302012011000001","20111013","","01","영업/정상","13","영업중","","","","","031-722-3000","","","경기도 양평군 지평면 대평리 산 112","경기도 양평군 지평면 대평평장길 113-8 (양평TPC골프클럽)","12543","양평TPC골프장","20201112093108","U","2020-11-14 02:40:00.0","","257787.727471873","435038.364564978","골프장","공립","Y","1","7","9516.41","400","","",
"29","골프장","10_31_02_P","5600000","CDFH2302012010000001","20100412","","01","영업/정상","13","영업중","","","","","","","487817","경기도 포천시 가산면 우금리 88-5","경기도 포천시 가산면 금우로 276","","푸른솔 골프클럽 포천","20200811161146","U","2020-08-13 02:40:00.0","","220660.749827946","481985.421923903","골프장","사립","","1","","","","","",
"30","골프장","10_31_02_P","5600000","CDFH2302012009000001","20090209","","01","영업/정상","13","영업중","","","","","031-539-5932","","487856","경기도 포천시 일동면 유동리 21-2","경기도 포천시 일동면 화동로 738","487856","일동레이크대중제골프장","20210309164611","U","2021-03-11 02:40:00.0","","227780.749869234","492123.715465918","골프장","사립","0","","1","76","","","",
"31","골프장","10_31_02_P","5600000","CDFH2302012004000001","20040625","","01","영업/정상","13","영업중","","","","","031-531-3841","","487892","경기도 포천시 영북면 산정리 558-1","경기도 포천시 영북면 산정호수로 359-12","","몽베르컨트리클럽","20200818154617","U","2020-08-20 02:40:00.0","","227025.7926405","507997.848408459","골프장","사립","0","","","11243.8","2350","","",
"32","골프장","10_31_02_P","5600000","CDFH2302011999000002","19990309","","01","영업/정상","13","영업중","","","","","","","487913","경기도 포천시 신북면 고일리 산 59번지","경기도 포천시 신북면 포천로 2499","","포천아도니스 대중골프장","20190326093022","U","2019-03-28 02:40:00.0","","214684.476405762","495955.033683119","골프장","사립","1","1","","1104.11","","","",
"33","골프장","10_31_02_P","5600000","CDFH2302011999000001","19990309","","01","영업/정상","13","영업중","","","","","","","487913","경기도 포천시 신북면 고일리 산 59번지","경기도 포천시 신북면 포천로 2499","","포천아도니스 C.C","20190326154142","U","2019-03-28 02:40:00.0","","214684.476405762","495955.033683119","골프장","사립","1","","","13875.98","","","",
"34","골프장","10_31_02_P","5600000","CDFH2302011995000001","19950403","","01","영업/정상","13","영업중","","","","","031-539-5900","","487856","경기도 포천시 일동면 유동리 21-2","경기도 포천시 일동면 화동로 738","","일동레이크 골프클럽","20210318171915","U","2021-03-20 02:40:00.0","","227780.749869234","492123.715465918","골프장","사립","0","","","9331.12","960","","",
"35","골프장","10_31_02_P","5600000","CDFH2302011992000001","19920901","","01","영업/정상","13","영업중","","","","","031-531-2003","","","경기도 포천시 일동면 기산리 산 142-1번지","경기도 포천시 일동면 운악청계로 1507","11119","필로스골프클럽","20180124115127","I","2018-08-31 23:59:59.0","","229055.656130376","493292.472984552","골프장","사립","1","","17","8625.97","","","",
"36","골프장","10_31_02_P","4170000","CDFH2302012013000001","20130531","","01","영업/정상","13","영업중","","","","","031-770-9900","","476882","경기도 양평군 양동면 고송리 산 143번지","경기도 양평군 양동면 양동로 756","","더 스타 휴 컨트리클럽","20141125144759","I","2018-08-31 23:59:59.0","","262112","442684","골프장","사립","Y","1","1","17142.84","400","","",
"37","골프장","10_31_02_P","5600000","CDFH2302012014000001","20141020","","01","영업/정상","13","영업중","","","","","031-538-0333","","","경기도 포천시 설운동 산 38-17번지","경기도 포천시 삼육사로 1982 (설운동)","11160","참밸리 컨트리클럽","20180525101723","I","2018-08-31 23:59:59.0","","211526.712549","484741.44727","골프장","사립","Y","1","","8127.4","","","",
"38","골프장","10_31_02_P","5600000","CDFH2302012010000003","20101230","","01","영업/정상","13","영업중","","","","","031-530-8000","","","경기도 포천시 화현면 명덕리 178-1번지","경기도 포천시 화현면 봉화로 253","11125","포레스트힐C.C","20171012100010","I","2018-08-31 23:59:59.0","","224247.03750095","485608.85427102","골프장","사립","Y","1","6","9774.01","","","",
"39","골프장","10_31_02_P","5600000","CDFH2302012010000002","20100506","","01","영업/정상","13","영업중","","","","","","","487873","경기도 포천시 군내면 상성북리 34-1번지","경기도 포천시 군내면 반월산성로375번길 34","","포천힐스컨트리클럽","20180817145511","I","2018-08-31 23:59:59.0","","220523.986182528","487043.521945957","골프장","사립","","","13","14532.08","","","",
"40","골프장","10_31_02_P","4450000","CDFH2302011995000001","19950817","","01","영업/정상","13","영업중","","","","","536-1001,1951","","365822","충청북도 진천군 이월면 신계리 산 77번지","","","천룡컨트리클럽","20030328115839","I","2018-08-31 23:59:59.0","","234383.781159","382702.469292","골프장","사립","0","","","8137","","","",
"41","골프장","10_31_02_P","4450000","CDFH2302011992000001","19920420","","01","영업/정상","13","영업중","","","","","533-6297,6666","","365811","충청북도 진천군 백곡면 성대리 산 103-1번지","충청북도 진천군 백곡면 배티로 818-105","","중앙컨트리클럽","20030328120053","I","2018-08-31 23:59:59.0","","230132.317221","381849.661867","골프장","사립","0","","","8176","","","",
"42","골프장","10_31_02_P","4390000","CDFH2302012013000001","20130327","","01","영업/정상","13","영업중","","","","","043)900-8800","","380883","충청북도 충주시 주덕읍 화곡리 1097번지","충청북도 충주시 주덕읍 기업도시3로 2","","킹스데일골프클럽","20191112172950","U","2019-11-14 02:40:00.0","","272282.230487","391026.690399","골프장","공립","Y","1","6","6170.97","","","",
"43","골프장","10_31_02_P","4390000","CDFH2302012012000001","20120402","","01","영업/정상","13","영업중","","","","","043)850-8800","","380883","충청북도 충주시 주덕읍 화곡리 1097번지","충청북도 충주시 주덕읍 기업도시3로 2","380883","킹스데일 골프클럽","20130204143722","I","2018-08-31 23:59:59.0","","272282.230487","391026.690399","골프장","사립","Y","1","5","6170.97","","","",
"44","골프장","10_31_02_P","4390000","CDFH2302012009000001","20090305","","01","영업/정상","13","영업중","","","","","043-850-8600","","380873","충청북도 충주시 대소원면 장성리 산 7번지","충청북도 충주시 대소원면 성종두담길 113","","대영베이스컨트리클럽","20110525105257","I","2018-08-31 23:59:59.0","","274752.637961","383301.172634","골프장","사립","Y","1","5","14181","","","",
"45","골프장","10_31_02_P","4390000","CDFH2302011996000001","19960810","","01","영업/정상","13","영업중","","","","","","","380861","충청북도 충주시 앙성면 중전리 산 11-1번지","충청북도 충주시 앙성면 중방곡길 57-44","","(주)시그너스컨트리클럽","20041105104810","I","2018-08-31 23:59:59.0","","265587.725557","408552.746963","골프장","사립","0","","","2187.1","","","",
"46","골프장","10_31_02_P","5690000","CDFH2302012012000001","20120716","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 산울동 644 건설공제조합 세종필드골프클럽","세종특별자치시 연기면 정안세종로 1569, 건설공제조합 세종필드골프클럽","30090","건설공제조합 세종필드골프클럽","20210309104220","U","2021-03-11 02:40:00.0","","223453.36087500000","337840.20950800000","골프장","사립","Y","1","15","10236.42","","","",
"47","골프장","10_31_02_P","5690000","CDFH2302011994000001","19941114","","01","영업/정상","13","영업중","","","","","0448629715","","339851","세종특별자치시 전의면 유천리 216-1번지","세종특별자치시 전의면 운주산로 1510","","세종에머슨 컨트리클럽","20190927093933","U","2019-09-29 02:40:00.0","","215930.472000254","354895.21641369","골프장","사립","Y","1","","13188.17","","","",
"48","골프장","10_31_02_P","4620000","CDFH2302012016000001","20160804","","01","영업/정상","13","영업중","","","","","041-674-5670","","","","충청남도 태안군 태안읍 소곳이길 92-232","","현대 태안 CC 4","20210201204844","U","2021-02-03 02:40:00.0","","","","골프장","사립","Y","1","4","10413.02","","","",
"49","골프장","10_31_02_P","4620000","CDFH2302012015000001","20151113","","01","영업/정상","13","영업중","","","","","041-674-5670","","","충청남도 태안군 태안읍 송암리 1528","충청남도 태안군 태안읍 소곳이길 92-234","","현대 태안 CC 3","20210202101334","U","2021-02-04 02:40:00.0","","139457.90266","355927.62244","골프장","사립","Y","1","7","3193.76","","","",
"50","골프장","10_31_02_P","4620000","CDFH2302012014000002","20140617","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 태안읍 반곡리 1154-4","충청남도 태안군 태안읍 기업도시6길 43","32149","로얄링스CC2","20210312100908","U","2021-03-14 02:40:00.0","","140782.076802","357893.03718","골프장","사립","Y","1","6","8675.47","","","",
"51","골프장","10_31_02_P","4620000","CDFH2302012014000001","20140418","","01","영업/정상","13","영업중","","","","","041-674-3090","","","충청남도 태안군 태안읍 반곡리 1143-10","충청남도 태안군 태안읍 기업도시1길 45-20","32149","로얄링스CC1","20210312100552","U","2021-03-14 02:40:00.0","","140810.496064","359635.412796","골프장","사립","Y","1","9","1653.3","","","",
"52","골프장","10_31_02_P","4620000","CDFH2302012006000001","20061002","","01","영업/정상","13","영업중","","","","","","","357942","충청남도 태안군 근흥면 정죽리 2259-1번지","충청남도 태안군 근흥면 갈음이길 77","357940","태안비치컨트리클럽","20111030133129","I","2018-08-31 23:59:59.0","","124998.273734","354752.920553","골프장","사립","0","","","","","","",
"53","골프장","10_31_02_P","4490000","CDFH2302011999000001","19991209","","01","영업/정상","13","영업중","","","","","557-2902","","330843","충청남도 천안시 동남구 목천읍 운전리 29번지","","","우정힐스컨트리클럽","20060306112854","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"54","골프장","10_31_02_P","4490000","CDFH2302012006000001","20060817","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 병천면 매성리 335-1번지 버드우드골프클럽","충청남도 천안시 동남구 병천면 매성2길 103, 버드우드골프클럽","31240","버드우드골프클럽","20200108141845","U","2020-01-10 02:40:00.0","","227860.734272","366855.871889","골프장","사립","1","1","1","9702.63","","","",
"55","골프장","10_31_02_P","4520000","CDFH2302011997000001","19970325","","01","영업/정상","13","영업중","","","","","542-4411","","336893","충청남도 아산시 선장면 신성리 113-8번지","충청남도 아산시 선장면 삼봉산길 188","","도고컨트리구락부","20140211153132","I","2018-08-31 23:59:59.0","","190151.966457","364069.969073","골프장","사립","0","","","","","","",
"56","골프장","10_31_02_P","4220000","CDFH2302012008000001","20081002","","01","영업/정상","13","영업중","","","","","","","","강원도 태백시 황지동 산 176-28","강원도 태백시 서학로 861 (황지동, 오투리조트)","26010","오투리조트 C.C","20210329134559","U","2021-03-31 02:40:00.0","","372751.048280605","409184.157758912","골프장","사립","0","","","","","","",
"57","골프장","10_31_02_P","4220000","CDFH2302012008000002","20081002","","01","영업/정상","13","영업중","","","","","","","","강원도 태백시 황지동 산 176-28","강원도 태백시 서학로 861 (황지동, 오투리조트)","26010","오투리조트 골프(대중제 18홀)","20210329134426","U","2021-03-31 02:40:00.0","","372751.048280605","409184.157758912","골프장","사립","0","","","","900","","",
"58","골프장","10_31_02_P","4680000","CDFH2302012011000002","20110330","","01","영업/정상","13","영업중","","","","","835-9956","","570330","전라북도 익산시 석암동 54-3번지","전라북도 익산시 석암로 207  (석암동)","","송산","20110616125822","I","2018-08-31 23:59:59.0","","201129.071894","271219.743595","골프장","사립","","","","","","","",
"59","골프장","10_31_02_P","4680000","CDFH2302012011000001","20110330","","01","영업/정상","13","영업중","","","","","835-9956","","570330","전라북도 익산시 석암동 54-3번지","전라북도 익산시 석암로 207  (석암동)","","(주)송산골프랜드","20110616125440","I","2018-08-31 23:59:59.0","","201129.071894","271219.743595","골프장","사립","","","","","","","",
"60","골프장","10_31_02_P","4680000","CDFH2302012007000001","20070222","","01","영업/정상","13","영업중","","","","","063-838-5066","","570973","전라북도 익산시 부송동 1095-1번지","전라북도 익산시 부송로 119  (부송동)","","태흥골프연습장","20070222092734","I","2018-08-31 23:59:59.0","","198981.894654","273550.487731","골프장","사립","0","","","","","","",
"61","골프장","10_31_02_P","4680000","CDFH2302011999000001","19990118","","01","영업/정상","13","영업중","","","","","835-2521","","570310","전라북도 익산시 덕기동 산 226-1번지","","","익산컨트리클럽","20040216141153","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"62","골프장","10_31_02_P","3170000","CDFH2302012007000002","20070329","","01","영업/정상","13","영업중","","","","","","","153030","서울특별시 금천구 시흥동 5-13","서울특별시 금천구 독산로50길 89 (시흥동)","153030","뉴금천휘트니스 3","20111030153258","I","2018-08-31 23:59:59.0","","191919.012705941","440127.175851359","골프장","사립","0","","","","","","",
"63","골프장","10_31_02_P","3170000","CDFH2302012007000001","20070813","","01","영업/정상","13","영업중","","","","","","","151050","서울특별시 관악구 봉천동 1723번지 반석 푸른숲 101동 1203호","","","sbs 스크린 골프클럽","20070827133336","I","2018-08-31 23:59:59.0","","","","골프장","사립","0","","","","","","",
"64","골프장","10_31_02_P","4280000","CDFH2302011998000002","19980714","","01","영업/정상","13","영업중","","","","","","","232923","강원도 평창군 봉평면 무이리 산 268번지","","","휘닉스파크대중골프장","20030624175038","I","2018-08-31 23:59:59.0","","316302.298858","454121.600824","골프장","사립","1","2","","","","","",
"65","골프장","10_31_02_P","4280000","CDFH2302011998000001","19980824","","01","영업/정상","13","영업중","","","","","","","232922","강원도 평창군 봉평면 면온리 산 249번지","","","휘닉스파크골프장(회원제)","20030624175215","I","2018-08-31 23:59:59.0","","","","골프장","사립","1","2","","","","","",
"66","골프장","10_31_02_P","5700000","CDFH2302012021000001","20210416","","01","영업/정상","13","영업중","","","","","","","","경기도 여주시 북내면 중암리 102","경기도 여주시 북내면 중암1길 36","","ROUTE 52CC","20210416175437","I","2021-04-18 00:22:58.0","","263678.146793906","427802.323867551","골프장","사립","Y","1","","7997.24","","","",
"67","골프장","10_31_02_P","5670000","CDFH2302011991200001","19911108","","01","영업/정상","13","영업중","","","","","","","645510","경상남도 창원시 진해구 용원동 산 39","","","용원컨트리클럽","20100705144457","I","2021-07-02 00:23:01.0","","366135.014941145","180601.036123049","골프장","사립","0","","","7880.47","","","",
"68","골프장","10_31_02_P","4050000","CDFH2302012020000001","20200925","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 처인구 이동읍 서리 산 70-3 세현cc","경기도 용인시 처인구 이동읍 백자로 450, 세현cc","","주식회사 세현cc","20200925140724","I","2020-09-27 00:23:11.0","","216715.679346789","409536.272814407","골프장","사립","Y","1","","","","","",
"69","골프장","10_31_02_P","4160000","CDFH2302012018000001","20180914","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 가평읍 승안리 산 176 가평베뉴지골프장","경기도 가평군 가평읍 용추로171번길 100, 가평베뉴지골프장","12408","베뉴지CC","20210402172812","U","2021-04-04 02:40:00.0","","241454.072979655","482865.422495348","골프장","사립","","1","9","11016.06","","","",
"70","골프장","10_31_02_P","4060000","CDFH2302012015000001","20150331","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 법원읍 웅담리 산 121-6번지","경기도 파주시 법원읍 술이홀로 1803","10806","타이거CC 골프장","20191209214933","U","2019-12-11 02:40:00.0","","190604.483343728","491051.48554289","골프장","사립","Y","1","3","7715.42","0","","",
"71","골프장","10_31_02_P","4060000","CDFH2302012011000002","20111216","","01","영업/정상","13","영업중","","","","","031-941-4277","","","경기도 파주시 광탄면 기산리 664-6번지 노스팜 컨트리클럽","경기도 파주시 광탄면 쇠장이길 265, 노스팜 컨트리클럽","10953","노스팜 컨트리클럽","20180830170318","I","2018-08-31 23:59:59.0","","191785.831604343","476160.64213177","골프장","사립","Y","1","8","8509.13","","","",
"72","골프장","10_31_02_P","4060000","CDFH2302012011000001","20111102","","01","영업/정상","13","영업중","","","","","031-958-5961","","","경기도 파주시 법원읍 삼방리 521번지","경기도 파주시 법원읍 보광로 1616","10829","스마트KU 골프 파빌리온","20191021180127","U","2019-10-23 02:40:00.0","","189117.806316199","480173.228295745","골프장","사립","Y","1","4","11155.28","","","",
"73","골프장","10_31_02_P","4060000","CDFH2302012010000001","20101220","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 법원읍 갈곡리 360","경기도 파주시 법원읍 화합로 306","10807","(주) 파주컨트리클럽","20200914164355","U","2020-09-16 02:40:00.0","","191472.383494488","482350.739733783","골프장","사립","Y","1","7","11159.29","","","",
"74","골프장","10_31_02_P","4060000","CDFH2302012009000001","20090527","","01","영업/정상","13","영업중","","","","","031-950-7700","","413853","경기도 파주시 광탄면 분수리 1-1번지","경기도 파주시 광탄면 장지산로200번길 32-41","","(주)베스트밸리골프클럽","20170807101001","I","2018-08-31 23:59:59.0","","189675.349858236","472703.203594744","골프장","사립","Y","","7","3262.18","","","",
"75","골프장","10_31_02_P","4060000","CDFH2302012008000001","20080530","","01","영업/정상","13","영업중","","","","","","","413825","경기도 파주시 조리읍 장곡리 47-1","경기도 파주시 조리읍 장곡로 100","","파주 J-Public 골프장","20210421165636","U","2021-04-23 02:40:00.0","","186403.240447222","471942.044802885","골프장","사립","0","","","1957.36","","","",
"76","골프장","10_31_02_P","4060000","CDFH2302012004000001","20040427","","01","영업/정상","13","영업중","","","","","","","413852","경기도 파주시 광탄면 발랑리 123-1번지","경기도 파주시 광탄면 서원길 333","413852","서원밸리 대중골프장","20160624160131","I","2018-08-31 23:59:59.0","","190925.28431765","479931.786057688","골프장","사립","0","","","4938.75","","","",
